Country/Region,Population,Drop
Aruba,106445,FALSE
Afghanistan,41128771,
Angola,35588987,
Albania,2777689,
Andorra,79824,
Arab World,464684914,FALSE
United Arab Emirates,9441129,
Argentina,46234830,
Armenia,2780469,
Samoa,44273,
Antigua and Barbuda,93763,
Australia,26005540,
Austria,9041851,
Azerbaijan,10141756,
Burundi,12889576,
Belgium,11685814,
Benin,13352864,
Burkina Faso,22673762,
Bangladesh,171186372,
Bulgaria,6465097,
Bahrain,1472233,
Bahamas,409984,
Bosnia and Herzegovina,3233526,
Belarus,9228071,
Belize,405272,
Bermuda,63532,FALSE
Bolivia,12224110,
Brazil,215313498,
Barbados,281635,
Brunei,449002,
Bhutan,782455,
Botswana,2630296,
Central African Republic,5579144,
Canada,38929902,
Central Europe and the Baltics,100108221,FALSE
Switzerland,8775760,
Channel Islands,174079,FALSE
Chile,19603733,
China,1412175000,
Cote d'Ivoire,28160542,
Cameroon,27914536,
Congo (Kinshasa),99010212,
Congo (Brazzaville),5970424,
Colombia,51874024,
Comoros,836774,
Cabo Verde,593149,
Costa Rica,5180829,
Cuba,11212191,
Curacao,149996,FALSE
Cayman Islands,68706,FALSE
Cyprus,1251488,
Czechia,10672118,
Germany,83797985,
Djibouti,1120849,
Dominica,72737,
Denmark,5903037,
Dominican Republic,11228821,
Algeria,44903225,
Ecuador,18001000,
Egypt,110990103,
Eritrea,3684032,
Spain,47778340,
Estonia,1348840,
Ethiopia,123379924,
Finland,5556106,
Fiji,929766,
France,67971311,
Faroe Islands,53090,FALSE
Micronesia,114164,
Gabon,2388992,
United Kingdom,66971395,
Georgia,3712502,
Ghana,33475870,
Gibraltar,32649,FALSE
Guinea,13859341,
Gambia,2705992,
Guinea-Bissau,2105566,
Equatorial Guinea,1674908,
Greece,10426919,
Grenada,125438,
Guatemala,17357886,
Guam,171774,FALSE
Guyana,808726,
"Hong Kong SAR, China",7346100,FALSE
Honduras,10432860,
Croatia,3855600,
Haiti,11584996,
Hungary,9643048,
Indonesia,275501339,
Isle of Man,84519,FALSE
India,1417173173,
Ireland,5127170,
Iran,88550570,
Iraq,44496122,
Iceland,382003,
Israel,9557500,
Italy,58940425,
Jamaica,2827377,
Jordan,11285869,
Japan,125124989,
Kazakhstan,19621972,
Kenya,54027487,
Kyrgyzstan,6974900,
Cambodia,16767842,
Kiribati,131232,
Saint Kitts and Nevis,47657,
"Korea, South",51628117,
Kuwait,4268873,
Laos,7529475,
Lebanon,5489739,
Liberia,5302681,
Libya,6812341,
Saint Lucia,179857,
Liechtenstein,39327,
Sri Lanka,22181000,
Lesotho,2305825,
Lithuania,2831639,
Luxembourg,653103,
Latvia,1879383,
St. Martin (French part),31791,FALSE
Morocco,37457971,
Monaco,36469,
Moldova,2538894,
Madagascar,29611714,
Maldives,523787,
Mexico,127504125,
Marshall Islands,41569,
North Macedonia,2057679,
Mali,22593590,
Malta,531113,
Myanmar,54179306,FALSE
Montenegro,617213,
Mongolia,3398366,
Northern Mariana Islands,49551,FALSE
Mozambique,32969518,
Mauritania,4736139,
Mauritius,1262523,
Malawi,20405317,
Malaysia,33938221,
North America,372280991,FALSE
Namibia,2567012,
New Caledonia,269220,FALSE
Niger,26207977,
Nigeria,218541212,
Nicaragua,6948392,
Netherlands,17700982,
Norway,5457127,
Nepal,30547580,
Nauru,12668,
New Zealand,5124100,
Oman,4576298,
Pakistan,235824862,
Panama,4408581,
Peru,34049588,
Philippines,115559009,
Palau,18055,
Papua New Guinea,10142619,
Poland,36821749,
Puerto Rico,3221789,FALSE
"Korea, North",26069416,
Portugal,10409704,
Paraguay,6780744,
West Bank and Gaza,5043612,
French Polynesia,306279,FALSE
Qatar,2695122,
Romania,19047009,
Russia,144236933,
Rwanda,13776698,
Saudi Arabia,36408820,
Sudan,46874204,
Senegal,17316449,
Singapore,5637022,
Solomon Islands,724273,
Sierra Leone,8605718,
El Salvador,6336392,
San Marino,33660,
Somalia,17597511,
Serbia,6664449,
South Sudan,10913164,
Sao Tome and Principe,227380,
Suriname,618040,
Slovakia,5431752,
Slovenia,2111986,
Sweden,10486941,
Eswatini,1201670,
Sint Maarten (Dutch part),42848,FALSE
Seychelles,119878,
Syria,22125249,
Turks and Caicos Islands,45703,FALSE
Chad,17723315,
Togo,8848699,
Thailand,71697030,
Tajikistan,9952787,
Turkmenistan,6430770,FALSE
Timor-Leste,1341296,
Tonga,106858,
Trinidad and Tobago,1531044,
Tunisia,12356117,
Turkey,84979913,
Tuvalu,11312,
Tanzania,65497748,
Uganda,47249585,
Ukraine,38000000,
Uruguay,3422794,
US,333287557,
Uzbekistan,35648100,
Saint Vincent and the Grenadines,103948,
Venezuela,28301696,
British Virgin Islands,31305,FALSE
Virgin Islands (U.S.),105413,FALSE
Vietnam,98186856,
Vanuatu,326740,
World,7950946801,FALSE
Samoa,222382,
Kosovo,1761985,
Yemen,33696614,
South Africa,59893885,
Zambia,20017675,
Zimbabwe,16320537,
